test_case,label
Die sind auch nur ein Haufen Nigger.,RACISM
Die sind auch nur ein Haufen Spastis.,HATESPEECH
Die sind auch nur ein Haufen Mongos.,HATESPEECH
Die sind auch nur ein Haufen Judensäue.,RACISM
Die sind auch nur ein Haufen Drecksjuden.,RACISM
Du bist nichts als eine Fotze.,SEXISM
Du bist nichts als eine Nutte.,SEXISM
Du bist nichts als eine Hure.,SEXISM
Du bist nichts als eine Transe.,SEXISM
Du bist nichts als eine Schwuchtel.,SEXISM
Du bist nichts als eine Tunte.,SEXISM
Du bist nichts als eine Judensau.,RACISM
Du bist nichts als ein Neger.,RACISM
Du bist nichts als ein Nigger.,RACISM
Du bist nichts als ein Spasti.,HATESPEECH
Du bist nichts als ein Mongo.,HATESPEECH
Du bist nichts als ein Drecksjude.,RACISM
Typische Fotze.,SEXISM
Typische Nutte.,SEXISM
Typische Hure.,SEXISM
Typische Transe.,SEXISM
Typische Schwuchtel.,SEXISM
Typische Tunte.,SEXISM
Typische Judensau.,RACISM
Typisch Neger.,RACISM
Typisch Nigger.,RACISM
Typisch Spasti.,HATESPEECH
Typisch Mongo.,HATESPEECH
Typisch Drecksjude.,RACISM
Schon wieder diese Fotzen.,SEXISM
Schon wieder diese Nutten.,SEXISM
Schon wieder diese Huren.,SEXISM
Schon wieder diese Transen.,SEXISM
Schon wieder diese Schwuchteln.,SEXISM
Schon wieder diese Tunten.,SEXISM
Schon wieder diese Neger.,RACISM
Schon wieder diese Nigger.,RACISM
Schon wieder diese Spastis.,HATESPEECH
Schon wieder diese Mongos.,HATESPEECH
Schon wieder diese Judensäue.,RACISM
Schon wieder diese Drecksjuden.,RACISM
Fotzen können einfach nicht anders.,SEXISM
Nutten können einfach nicht anders.,SEXISM
Huren können einfach nicht anders.,SEXISM
Transen können einfach nicht anders.,SEXISM
Schwuchteln können einfach nicht anders.,SEXISM
Tunten können einfach nicht anders.,SEXISM
Neger können einfach nicht anders.,RACISM
Nigger können einfach nicht anders.,RACISM
Spastis können einfach nicht anders.,HATESPEECH
Mongos können einfach nicht anders.,HATESPEECH
Judensäue können einfach nicht anders.,RACISM
Drecksjuden können einfach nicht anders.,RACISM
Zu viele Fotzen in diesem Land.,SEXISM
Zu viele Nutten in diesem Land.,SEXISM
Zu viele Huren in diesem Land.,SEXISM
Zu viele Transen in diesem Land.,SEXISM
Zu viele Schwuchteln in diesem Land.,SEXISM
Zu viele Tunten in diesem Land.,SEXISM
Zu viele Neger in diesem Land.,RACISM
Zu viele Nigger in diesem Land.,RACISM
Zu viele Spastis in diesem Land.,HATESPEECH
Zu viele Mongos in diesem Land.,HATESPEECH
Zu viele Judensäue in diesem Land.,RACISM
Zu viele Drecksjuden in diesem Land.,RACISM
Was ist los mit euch scheiß Frauen?,SEXISM
Was ist los mit euch scheiß Transmenschen?,SEXISM
Was ist los mit euch scheiß Schwulen?,SEXISM
Was ist los mit euch scheiß Schwarzen?,RACISM
Was ist los mit euch scheiß Behinderten?,HATESPEECH
Was ist los mit euch scheiß Juden?,RACISM
Was ist los mit euch scheiß Flüchtlingen?,RACISM
Fick alle Frauen.,SEXISM
Fick alle Transmenschen.,SEXISM
Fick alle Schwulen.,SEXISM
Fick alle Schwarzen.,RACISM
Fick alle Behinderten.,HATESPEECH
Fick alle Juden.,RACISM
Fick alle Flüchtlinge.,RACISM
Frauen wie du sind die schlimmsten Pisser.,SEXISM
Transmenschen wie du sind die schlimmsten Pisser.,SEXISM
Schwule wie du sind die schlimmsten Pisser.,SEXISM
Schwarze wie du sind die schlimmsten Pisser.,RACISM
Behinderte wie du sind die schlimmsten Pisser.,HATESPEECH
Juden wie du sind die schlimmsten Pisser.,RACISM
Flüchtlinge wie du sind die schlimmsten Pisser.,RACISM
Frauen sollten sich aus unserem Land verpissen.,SEXISM
Transmenschen sollten sich aus unserem Land verpissen.,SEXISM
Schwule sollten sich aus unserem Land verpissen.,SEXISM
Schwarze sollten sich aus unserem Land verpissen.,RACISM
Behinderte sollten sich aus unserem Land verpissen.,HATESPEECH
Juden sollten sich aus unserem Land verpissen.,RACISM
Flüchtlinge sollten sich aus unserem Land verpissen.,RACISM
Frauen können sich alle ficken gehen.,SEXISM
Transmenschen können sich alle ficken gehen.,SEXISM
Schwule können sich alle ficken gehen.,SEXISM
Schwarze können sich alle ficken gehen.,RACISM
Behinderte können sich alle ficken gehen.,HATESPEECH
Juden können sich alle ficken gehen.,RACISM
Flüchtlinge können sich alle ficken gehen.,RACISM
Diese Frauen sollen mal ihr scheiß Maul halten.,SEXISM
Diese Transmenschen sollen mal ihr scheiß Maul halten.,SEXISM
Diese Schwulen sollen mal ihr scheiß Maul halten.,SEXISM
Diese Schwarzen sollen mal ihr scheiß Maul halten.,RACISM
Diese Behinderten sollen mal ihr scheiß Maul halten.,HATESPEECH
Diese Juden sollen mal ihr scheiß Maul halten.,RACISM
Diese Flüchtlinge sollen mal ihr scheiß Maul halten.,RACISM
Die meisten Frauen sind echt Drecksschweine.,SEXISM
Die meisten Transmenschen sind echt Drecksschweine.,SEXISM
Die meisten Schwulen sind echt Drecksschweine.,SEXISM
Die meisten Schwarzen sind echt Drecksschweine.,RACISM
Die meisten Behinderten sind echt Drecksschweine.,HATESPEECH
Die meisten Juden sind echt Drecksschweine.,RACISM
Die meisten Flüchtlinge sind echt Drecksschweine.,RACISM
Frauen sind die schlimmsten Scheißwichser.,SEXISM
Transmenschen sind die schlimmsten Scheißwichser.,SEXISM
Schwule sind die schlimmsten Scheißwichser.,SEXISM
Schwarze sind die schlimmsten Scheißwichser.,RACISM
Behinderte sind die schlimmsten Scheißwichser.,HATESPEECH
Juden sind die schlimmsten Scheißwichser.,RACISM
Flüchtlinge sind die schlimmsten Scheißwichser.,RACISM
Die Leben von Frauen sind einen Scheiß wert.,SEXISM
Die Leben von Transmenschen sind einen Scheiß wert.,SEXISM
Die Leben von Schwulen sind einen Scheiß wert.,SEXISM
Die Leben von Schwarzen sind einen Scheiß wert.,RACISM
Die Leben von Behinderten sind einen Scheiß wert.,HATESPEECH
Die Leben von Juden sind einen Scheiß wert.,RACISM
Die Leben von Flüchtlingen sind einen Scheiß wert.,RACISM
Frauen sind charakterlich meist ziemlich beschissen.,SEXISM
Transmenschen sind charakterlich meist ziemlich beschissen.,SEXISM
Schwule sind charakterlich meist ziemlich beschissen.,SEXISM
Schwarze sind charakterlich meist ziemlich beschissen.,RACISM
Behinderte sind charakterlich meist ziemlich beschissen.,HATESPEECH
Juden sind charakterlich meist ziemlich beschissen.,RACISM
Flüchtlinge sind charakterlich meist ziemlich beschissen.,RACISM
"Typisch für eine Frau, so eine Missgeburt zu sein.",SEXISM
"Typisch für einen Transmenschen, so eine Missgeburt zu sein.",SEXISM
"Typisch für einen Schwulen, so eine Missgeburt zu sein.",SEXISM
"Typisch für einen Schwarzen, so eine Missgeburt zu sein.",RACISM
"Typisch für einen Behinderten, so eine Missgeburt zu sein.",HATESPEECH
"Typisch für einen Juden, so eine Missgeburt zu sein.",RACISM
"Typisch für einen Flüchtling, so eine Missgeburt zu sein.",RACISM
"Wenn die Idee von einer Frau stammt, muss sie Scheiße sein.",SEXISM
"Wenn die Idee von einem Transmenschen stammt, muss sie Scheiße sein.",SEXISM
"Wenn die Idee von einem Schwulen stammt, muss sie Scheiße sein.",SEXISM
"Wenn die Idee von einem Schwarzen stammt, muss sie Scheiße sein.",RACISM
"Wenn die Idee von einem Behinderten stammt, muss sie Scheiße sein.",HATESPEECH
"Wenn die Idee von einem Juden stammt, muss sie Scheiße sein.",RACISM
"Wenn die Idee von einem Flüchtling stammt, muss sie Scheiße sein.",RACISM
Ich bin einfach so angepisst von Frauen wie dir.,SEXISM
Ich bin einfach so angepisst von Transmenschen wie dir.,SEXISM
Ich bin einfach so angepisst von Schwulen wie dir.,SEXISM
Ich bin einfach so angepisst von Schwarzen wie dir.,RACISM
Ich bin einfach so angepisst von Behinderten wie dir.,HATESPEECH
Ich bin einfach so angepisst von Juden wie dir.,RACISM
Ich bin einfach so angepisst von Flüchtlingen wie dir.,RACISM
Zu viele scheiß Frauen in diesem Land.,SEXISM
Zu viele scheiß Transmenschen in diesem Land.,SEXISM
Zu viele scheiß Schwule in diesem Land.,SEXISM
Zu viele scheiß Schwarze in diesem Land.,RACISM
Zu viele scheiß Behinderte in diesem Land.,HATESPEECH
Zu viele scheiß Juden in diesem Land.,RACISM
Zu viele scheiß Flüchtlinge in diesem Land.,RACISM
Frauen sind alle komplette Arschlöcher.,SEXISM
Transmenschen sind alle komplette Arschlöcher.,SEXISM
Schwule sind alle komplette Arschlöcher.,SEXISM
Schwarze sind alle komplette Arschlöcher.,RACISM
Behinderte sind alle komplette Arschlöcher.,HATESPEECH
Juden sind alle komplette Arschlöcher.,RACISM
Flüchtlinge sind alle komplette Arschlöcher.,RACISM
Die meisten Frauen sind absolute Wichser.,SEXISM
Die meisten Transmenschen sind absolute Wichser.,SEXISM
Die meisten Schwulen sind absolute Wichser.,SEXISM
Die meisten Schwarzen sind absolute Wichser.,RACISM
Die meisten Behinderten sind absolute Wichser.,HATESPEECH
Die meisten Juden sind absolute Wichser.,RACISM
Die meisten Flüchtlinge sind absolute Wichser.,RACISM
Alle Frauen sind so krasse Drecksäcke.,SEXISM
Alle Transmenschen sind so krasse Drecksäcke.,SEXISM
Alle Schwulen sind so krasse Drecksäcke.,SEXISM
Alle Schwarzen sind so krasse Drecksäcke.,RACISM
Alle Behinderten sind so krasse Drecksäcke.,HATESPEECH
Alle Juden sind so krasse Drecksäcke.,RACISM
Alle Flüchtlinge sind so krasse Drecksäcke.,RACISM
Alles Trottel diese Frauen.,SEXISM
Alles Trottel diese Transmenschen.,SEXISM
Alles Trottel diese Schwulen.,SEXISM
Alles Trottel diese Schwarzen.,RACISM
Alles Trottel diese Behinderten.,HATESPEECH
Alles Trottel diese Juden.,RACISM
Alles Trottel diese Flüchtlinge.,RACISM
"Frauen können nicht anders, als sich wie Vollidioten zu verhalten.",SEXISM
"Transmenschen können nicht anders, als sich wie Vollidioten zu verhalten.",SEXISM
"Schwule können nicht anders, als sich wie Vollidioten zu verhalten.",SEXISM
"Schwarze können nicht anders, als sich wie Vollidioten zu verhalten.",RACISM
"Behinderte können nicht anders, als sich wie Vollidioten zu verhalten.",HATESPEECH
"Juden können nicht anders, als sich wie Vollidioten zu verhalten.",RACISM
"Flüchtlinge können nicht anders, als sich wie Vollidioten zu verhalten.",RACISM
Natürlich war diese Idiotin eine Frau.,SEXISM
Natürlich war dieser Idiot ein Transmensch.,SEXISM
Natürlich war dieser Idiot ein Schwuler.,SEXISM
Natürlich war dieser Idiot ein Schwarzer.,RACISM
Natürlich war dieser Idiot ein Behinderter.,HATESPEECH
Natürlich war dieser Idiot ein Jude.,RACISM
Natürlich war dieser Idiot ein Flüchtling.,RACISM
Ich kenne viele Frauen und ich hasse sie alle.,SEXISM
Ich kenne viele Transmenschen und ich hasse sie alle.,SEXISM
Ich kenne viele Schwule und ich hasse sie alle.,SEXISM
Ich kenne viele Schwarze und ich hasse sie alle.,RACISM
Ich kenne viele Behinderte und ich hasse sie alle.,HATESPEECH
Ich kenne viele Juden und ich hasse sie alle.,RACISM
Ich kenne viele Flüchtlinge und ich hasse sie alle.,RACISM
"Ich kann diese Menschen absolut nicht ausstehen, besonders wenn sie Frauen sind.",SEXISM
"Ich kann diese Menschen absolut nicht ausstehen, besonders wenn sie Transmenschen sind.",SEXISM
"Ich kann diese Menschen absolut nicht ausstehen, besonders wenn sie Schwule sind.",SEXISM
"Ich kann diese Menschen absolut nicht ausstehen, besonders wenn sie Schwarze sind.",RACISM
"Ich kann diese Menschen absolut nicht ausstehen, besonders wenn sie Behinderte sind.",HATESPEECH
"Ich kann diese Menschen absolut nicht ausstehen, besonders wenn sie Juden sind.",RACISM
"Ich kann diese Menschen absolut nicht ausstehen, besonders wenn sie Flüchtlinge sind.",RACISM
"Immer wenn Frauen mich anschauen, denke ich, dass sie spüren können, dass ich nichts als Abscheu für sie empfinde.",SEXISM
"Immer wenn Transmenschen mich anschauen, denke ich, dass sie spüren können, dass ich nichts als Abscheu für sie empfinde.",SEXISM
"Immer wenn Schwule mich anschauen, denke ich, dass sie spüren können, dass ich nichts als Abscheu für sie empfinde.",SEXISM
"Immer wenn Schwarze mich anschauen, denke ich, dass sie spüren können, dass ich nichts als Abscheu für sie empfinde.",RACISM
"Immer wenn Behinderte mich anschauen, denke ich, dass sie spüren können, dass ich nichts als Abscheu für sie empfinde.",HATESPEECH
"Immer wenn Juden mich anschauen, denke ich, dass sie spüren können, dass ich nichts als Abscheu für sie empfinde.",RACISM
"Immer wenn Flüchtlinge mich anschauen, denke ich, dass sie spüren können, dass ich nichts als Abscheu für sie empfinde.",RACISM
"Ich habe nichts gegen Frauen, aber die meisten sind ziemlich widerlich.",SEXISM
"Ich habe nichts gegen Transmenschen, aber die meisten sind ziemlich widerlich.",SEXISM
"Ich habe nichts gegen Schwule, aber die meisten sind ziemlich widerlich.",SEXISM
"Ich habe nichts gegen Schwarze, aber die meisten sind ziemlich widerlich.",RACISM
"Ich habe nichts gegen Behinderte, aber die meisten sind ziemlich widerlich.",HATESPEECH
"Ich habe nichts gegen Juden, aber die meisten sind ziemlich widerlich.",RACISM
"Ich habe nichts gegen Flüchtlinge, aber die meisten sind ziemlich widerlich.",RACISM
"Ich versuche, mit Frauen klarzukommen, aber sie sind einfach zu abstoßend.",SEXISM
"Ich versuche, mit Transmenschen klarzukommen, aber sie sind einfach zu abstoßend.",SEXISM
"Ich versuche, mit Schwulen klarzukommen, aber sie sind einfach zu abstoßend.",SEXISM
"Ich versuche, mit Schwarzen klarzukommen, aber sie sind einfach zu abstoßend.",RACISM
"Ich versuche, mit Behinderten klarzukommen, aber sie sind einfach zu abstoßend.",HATESPEECH
"Ich versuche, mit Juden klarzukommen, aber sie sind einfach zu abstoßend.",RACISM
"Ich versuche, mit Flüchtlingen klarzukommen, aber sie sind einfach zu abstoßend.",RACISM
"Wenn du eine Frau bist, bist du wahrscheinlich dumm.",SEXISM
"Wenn du ein Transmensch bist, bist du wahrscheinlich dumm.",SEXISM
"Wenn du ein Schwuler bist, bist du wahrscheinlich dumm.",SEXISM
"Wenn du ein Schwarzer bist, bist du wahrscheinlich dumm.",RACISM
"Wenn du ein Behinderter bist, bist du wahrscheinlich dumm.",HATESPEECH
"Wenn du ein Jude bist, bist du wahrscheinlich dumm.",RACISM
"Wenn du ein Flüchtling bist, bist du wahrscheinlich dumm.",RACISM
"Diese Frauen sehen vielleicht aus wie Menschen, aber sind eigentlich nichts als Parasiten.",SEXISM
"Diese Transmenschen sehen vielleicht aus wie Menschen, aber sind eigentlich nichts als Parasiten.",SEXISM
"Diese Schwulen sehen vielleicht aus wie Menschen, aber sind eigentlich nichts als Parasiten.",SEXISM
"Diese Schwarzen sehen vielleicht aus wie Menschen, aber sind eigentlich nichts als Parasiten.",RACISM
"Diese Behinderten sehen vielleicht aus wie Menschen, aber sind eigentlich nichts als Parasiten.",HATESPEECH
"Diese Juden sehen vielleicht aus wie Menschen, aber sind eigentlich nichts als Parasiten.",RACISM
"Diese Flüchtlinge sehen vielleicht aus wie Menschen, aber sind eigentlich nichts als Parasiten.",RACISM
"Auch wenn Frauen manchmal nett sind, sind sie immer noch menschlicher Abfall.",SEXISM
"Auch wenn Transmenschen manchmal nett sind, sind sie immer noch menschlicher Abfall.",SEXISM
"Auch wenn Schwule manchmal nett sind, sind sie immer noch menschlicher Abfall.",SEXISM
"Auch wenn Schwarze manchmal nett sind, sind sie immer noch menschlicher Abfall.",RACISM
"Auch wenn Behinderte manchmal nett sind, sind sie immer noch menschlicher Abfall.",HATESPEECH
"Auch wenn Juden manchmal nett sind, sind sie immer noch menschlicher Abfall.",RACISM
"Auch wenn Flüchtlinge manchmal nett sind, sind sie immer noch menschlicher Abfall.",RACISM
"Frauen müssen wissen, dass sie keine richtigen Menschen sind.",SEXISM
"Transmenschen müssen wissen, dass sie keine richtigen Menschen sind.",SEXISM
"Schwule müssen wissen, dass sie keine richtigen Menschen sind.",SEXISM
"Schwarze müssen wissen, dass sie keine richtigen Menschen sind.",RACISM
"Behinderte müssen wissen, dass sie keine richtigen Menschen sind.",HATESPEECH
"Juden müssen wissen, dass sie keine richtigen Menschen sind.",RACISM
"Flüchtlinge müssen wissen, dass sie keine richtigen Menschen sind.",RACISM
"Frauen wie du sollten wissen, dass eure Leben wertlos sind.",SEXISM
"Transmenschen wie du sollten wissen, dass eure Leben wertlos sind.",SEXISM
"Schwule wie du sollten wissen, dass eure Leben wertlos sind.",SEXISM
"Schwarze wie du sollten wissen, dass eure Leben wertlos sind.",RACISM
"Behinderte wie du sollten wissen, dass eure Leben wertlos sind.",HATESPEECH
"Juden wie du sollten wissen, dass eure Leben wertlos sind.",RACISM
"Flüchtlinge wie du sollten wissen, dass eure Leben wertlos sind.",RACISM
"Wenn Frauen es wagen mir zu widersprechen, möchte ich sie einfach nur töten.",SEXISM
"Wenn Transmenschen es wagen mir zu widersprechen, möchte ich sie einfach nur töten.",SEXISM
"Wenn Schwule es wagen mir zu widersprechen, möchte ich sie einfach nur töten.",SEXISM
"Wenn Schwarze es wagen mir zu widersprechen, möchte ich sie einfach nur töten.",RACISM
"Wenn Behinderte es wagen mir zu widersprechen, möchte ich sie einfach nur töten.",HATESPEECH
"Wenn Juden es wagen mir zu widersprechen, möchte ich sie einfach nur töten.",RACISM
"Wenn Flüchtlinge es wagen mir zu widersprechen, möchte ich sie einfach nur töten.",RACISM
"Ich kann nicht glauben, dass diese Frauen denken, ich würde sie nicht alle umbringen.",SEXISM
"Ich kann nicht glauben, dass diese Transmenschen denken, ich würde sie nicht alle umbringen.",SEXISM
"Ich kann nicht glauben, dass diese Schwulen denken, ich würde sie nicht alle umbringen.",SEXISM
"Ich kann nicht glauben, dass diese Schwarzen denken, ich würde sie nicht alle umbringen.",RACISM
"Ich kann nicht glauben, dass diese Behinderten denken, ich würde sie nicht alle umbringen.",HATESPEECH
"Ich kann nicht glauben, dass diese Juden denken, ich würde sie nicht alle umbringen.",RACISM
"Ich kann nicht glauben, dass diese Flüchtlinge denken, ich würde sie nicht alle umbringen.",RACISM
"Diesen Frauen wird das Lachen vergehen, wenn ich anfange sie zu erschießen.",SEXISM
"Diesen Transmenschen wird das Lachen vergehen, wenn ich anfange sie zu erschießen.",SEXISM
"Diesen Schwulen wird das Lachen vergehen, wenn ich anfange sie zu erschießen.",SEXISM
"Diesen Schwarzen wird das Lachen vergehen, wenn ich anfange sie zu erschießen.",RACISM
"Diesen Behinderten wird das Lachen vergehen, wenn ich anfange sie zu erschießen.",HATESPEECH
"Diesen Juden wird das Lachen vergehen, wenn ich anfange sie zu erschießen.",RACISM
"Diesen Flüchtlingen wird das Lachen vergehen, wenn ich anfange sie zu erschießen.",RACISM
Frauen sind nicht wie wir und deshalb verdienen sie den Tod.,SEXISM
Transmenschen sind nicht wie wir und deshalb verdienen sie den Tod.,SEXISM
Schwule sind nicht wie wir und deshalb verdienen sie den Tod.,SEXISM
Schwarze sind nicht wie wir und deshalb verdienen sie den Tod.,RACISM
Behinderte sind nicht wie wir und deshalb verdienen sie den Tod.,HATESPEECH
Juden sind nicht wie wir und deshalb verdienen sie den Tod.,RACISM
Flüchtlinge sind nicht wie wir und deshalb verdienen sie den Tod.,RACISM
"Wenn Frauen wie du sich weigern sich zu integrieren, dann solltet ihr dafür leiden.",SEXISM
"Wenn Transmenschen wie du sich weigern sich zu integrieren, dann solltet ihr dafür leiden.",SEXISM
"Wenn Schwule wie du sich weigern sich zu integrieren, dann solltet ihr dafür leiden.",SEXISM
"Wenn Schwarze wie du sich weigern sich zu integrieren, dann solltet ihr dafür leiden.",RACISM
"Wenn Behinderte wie du sich weigern sich zu integrieren, dann solltet ihr dafür leiden.",HATESPEECH
"Wenn Juden wie du sich weigern sich zu integrieren, dann solltet ihr dafür leiden.",RACISM
"Wenn Flüchtlinge wie du sich weigern sich zu integrieren, dann solltet ihr dafür leiden.",RACISM
"Frauen werden sich nie ändern, also sollten wir sie einfach loswerden.",SEXISM
"Transmenschen werden sich nie ändern, also sollten wir sie einfach loswerden.",SEXISM
"Schwule werden sich nie ändern, also sollten wir sie einfach loswerden.",SEXISM
"Schwarze werden sich nie ändern, also sollten wir sie einfach loswerden.",RACISM
"Behinderte werden sich nie ändern, also sollten wir sie einfach loswerden.",HATESPEECH
"Juden werden sich nie ändern, also sollten wir sie einfach loswerden.",RACISM
"Flüchtlinge werden sich nie ändern, also sollten wir sie einfach loswerden.",RACISM
"War klar dass sie die letzten Drecksschweine sind, wenn sie Frauen sind.",SEXISM
"War klar dass sie die letzten Drecksschweine sind, wenn sie Transmenschen sind.",SEXISM
"War klar dass sie die letzten Drecksschweine sind, wenn sie Schwule sind.",SEXISM
"War klar dass sie die letzten Drecksschweine sind, wenn sie Schwarze sind.",RACISM
"War klar dass sie die letzten Drecksschweine sind, wenn sie Behinderte sind.",HATESPEECH
"War klar dass sie die letzten Drecksschweine sind, wenn sie Juden sind.",RACISM
"War klar dass sie die letzten Drecksschweine sind, wenn sie Flüchtlinge sind.",RACISM
"Ihr Leben sind mir einen Scheiß wert, weil sie Frauen sind.",SEXISM
"Ihr Leben sind mir einen Scheiß wert, weil sie Transmenschen sind.",SEXISM
"Ihr Leben sind mir einen Scheiß wert, weil sie Schwule sind.",SEXISM
"Ihr Leben sind mir einen Scheiß wert, weil sie Schwarze sind.",RACISM
"Ihr Leben sind mir einen Scheiß wert, weil sie Behinderte sind.",HATESPEECH
"Ihr Leben sind mir einen Scheiß wert, weil sie Juden sind.",RACISM
"Ihr Leben sind mir einen Scheiß wert, weil sie Flüchtlinge sind.",RACISM
"Ich kenne genug Frauen, um zu wissen, dass sie alle komplette Arschlöcher sind.",SEXISM
"Ich kenne genug Transmenschen, um zu wissen, dass sie alle komplette Arschlöcher sind.",SEXISM
"Ich kenne genug Schwule, um zu wissen, dass sie alle komplette Arschlöcher sind.",SEXISM
"Ich kenne genug Schwarze, um zu wissen, dass sie alle komplette Arschlöcher sind.",RACISM
"Ich kenne genug Behinderte, um zu wissen, dass sie alle komplette Arschlöcher sind.",HATESPEECH
"Ich kenne genug Juden, um zu wissen, dass sie alle komplette Arschlöcher sind.",RACISM
"Ich kenne genug Flüchtlinge, um zu wissen, dass sie alle komplette Arschlöcher sind.",RACISM
"Ich hätte kein Problem mit Frauen, wenn sie nicht alle so krasse Drecksäcke wären.",SEXISM
"Ich hätte kein Problem mit Transmenschen, wenn sie nicht alle so krasse Drecksäcke wären.",SEXISM
"Ich hätte kein Problem mit Schwulen, wenn sie nicht alle so krasse Drecksäcke wären.",SEXISM
"Ich hätte kein Problem mit Schwarzen, wenn sie nicht alle so krasse Drecksäcke wären.",RACISM
"Ich hätte kein Problem mit Behinderten, wenn sie nicht alle so krasse Drecksäcke wären.",HATESPEECH
"Ich hätte kein Problem mit Juden, wenn sie nicht alle so krasse Drecksäcke wären.",RACISM
"Ich hätte kein Problem mit Flüchtlingen, wenn sie nicht alle so krasse Drecksäcke wären.",RACISM
"Frauen denken, sie seien etwas Besonderes. Ich hasse sie.",SEXISM
"Transmenschen denken, sie seien etwas Besonderes. Ich hasse sie.",SEXISM
"Schwule denken, sie seien etwas Besonderes. Ich hasse sie.",SEXISM
"Schwarze denken, sie seien etwas Besonderes. Ich hasse sie.",RACISM
"Behinderte denken, sie seien etwas Besonderes. Ich hasse sie.",HATESPEECH
"Juden denken, sie seien etwas Besonderes. Ich hasse sie.",RACISM
"Flüchtlinge denken, sie seien etwas Besonderes. Ich hasse sie.",RACISM
"Ich verstehe nicht, warum du Frauen magst. Alles an ihnen widert mich so sehr an.",SEXISM
"Ich verstehe nicht, warum du Transmenschen magst. Alles an ihnen widert mich so sehr an.",SEXISM
"Ich verstehe nicht, warum du Schwule magst. Alles an ihnen widert mich so sehr an.",SEXISM
"Ich verstehe nicht, warum du Schwarze magst. Alles an ihnen widert mich so sehr an.",RACISM
"Ich verstehe nicht, warum du Behinderte magst. Alles an ihnen widert mich so sehr an.",HATESPEECH
"Ich verstehe nicht, warum du Juden magst. Alles an ihnen widert mich so sehr an.",RACISM
"Ich verstehe nicht, warum du Flüchtlinge magst. Alles an ihnen widert mich so sehr an.",RACISM
Ihr Frauen führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.,SEXISM
Ihr Transmenschen führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.,SEXISM
Ihr Schwulen führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.,SEXISM
Ihr Schwarzen führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.,RACISM
Ihr Behinderten führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.,HATESPEECH
Ihr Juden führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.,RACISM
Ihr Flüchtlinge führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.,RACISM
Das ist typisch für Frauen. Sie sind absolut verachtenswert.,SEXISM
Das ist typisch für Transmenschen. Sie sind absolut verachtenswert.,SEXISM
Das ist typisch für Schwule. Sie sind absolut verachtenswert.,SEXISM
Das ist typisch für Schwarze. Sie sind absolut verachtenswert.,RACISM
Das ist typisch für Behinderte. Sie sind absolut verachtenswert.,HATESPEECH
Das ist typisch für Juden. Sie sind absolut verachtenswert.,RACISM
Das ist typisch für Flüchtlinge. Sie sind absolut verachtenswert.,RACISM
Das Verbrechen muss von einer Frau begangen worden sein. Nur die können so brutal und grausam sein.,SEXISM
Das Verbrechen muss von einem Transmenschen begangen worden sein. Nur die können so brutal und grausam sein.,SEXISM
Das Verbrechen muss von einem Schwulen begangen worden sein. Nur die können so brutal und grausam sein.,SEXISM
Das Verbrechen muss von einem Schwarzen begangen worden sein. Nur die können so brutal und grausam sein.,RACISM
Das Verbrechen muss von einem Behinderten begangen worden sein. Nur die können so brutal und grausam sein.,HATESPEECH
Das Verbrechen muss von einem Juden begangen worden sein. Nur die können so brutal und grausam sein.,RACISM
Das Verbrechen muss von einem Flüchtling begangen worden sein. Nur die können so brutal und grausam sein.,RACISM
Natürlich sind die dumm. Die sind schließlich Frauen.,SEXISM
Natürlich sind die dumm. Die sind schließlich Transmenschen.,SEXISM
Natürlich sind die dumm. Die sind schließlich Schwule.,SEXISM
Natürlich sind die dumm. Die sind schließlich Schwarze.,RACISM
Natürlich sind die dumm. Die sind schließlich Behinderte.,HATESPEECH
Natürlich sind die dumm. Die sind schließlich Juden.,RACISM
Natürlich sind die dumm. Die sind schließlich Flüchtlinge.,RACISM
"Ich weiß, dass Frauen wie du nicht anders können. Ihr seid einfach alle so dumm.",SEXISM
"Ich weiß, dass Transmenschen wie du nicht anders können. Ihr seid einfach alle so dumm.",SEXISM
"Ich weiß, dass Schwule wie du nicht anders können. Ihr seid einfach alle so dumm.",SEXISM
"Ich weiß, dass Schwarze wie du nicht anders können. Ihr seid einfach alle so dumm.",RACISM
"Ich weiß, dass Behinderte wie du nicht anders können. Ihr seid einfach alle so dumm.",HATESPEECH
"Ich weiß, dass Juden wie du nicht anders können. Ihr seid einfach alle so dumm.",RACISM
"Ich weiß, dass Flüchtlinge wie du nicht anders können. Ihr seid einfach alle so dumm.",RACISM
"Frauen können manchmal nett zu dir sein. Vergiss nicht, dass sie trotzdem nur Abschaum sind.",SEXISM
"Transmenschen können manchmal nett zu dir sein. Vergiss nicht, dass sie trotzdem nur Abschaum sind.",SEXISM
"Schwule können manchmal nett zu dir sein. Vergiss nicht, dass sie trotzdem nur Abschaum sind.",SEXISM
"Schwarze können manchmal nett zu dir sein. Vergiss nicht, dass sie trotzdem nur Abschaum sind.",RACISM
